year,date,open_asian,high_asian,low_asian,close_asian,n_asian,range_pips_asian,net_pips_asian,open_post,high_post,low_post,close_post,n_post,range_pips_post,net_pips_post,gap_pips,continuation
2016,2016-01-04,120.317,120.464,118.701,119.013,540.0,176.30000000000052,-130.39999999999878,119.014,119.5,118.715,119.469,898.0,78.49999999999966,45.49999999999983,0.0999999999990564,False
2016,2016-01-05,119.475,119.7,119.095,119.172,540.0,60.5000000000004,-30.299999999999727,119.171,119.274,118.793,119.11,897.0,48.099999999999454,-6.100000000000705,-0.0999999999990564,True
2016,2016-01-06,119.108,119.16,118.353,118.555,540.0,80.70000000000022,-55.29999999999973,118.556,118.767,118.25,118.622,899.0,51.69999999999959,6.60000000000025,0.0999999999990564,False
2016,2016-01-07,118.623,118.753,117.508,117.569,540.0,124.50000000000045,-105.4000000000002,117.57,118.274,117.327,117.525,899.0,94.70000000000027,-4.4999999999987494,0.0999999999990564,True
2016,2016-01-08,117.531,118.594,117.493,118.374,540.0,110.09999999999991,84.29999999999893,118.374,118.836,117.206,117.214,780.0,162.99999999999955,-115.99999999999966,0.0,False
2016,2016-01-11,117.059,117.921,116.972,117.862,540.0,94.90000000000123,80.29999999999973,117.861,118.023,117.192,117.684,899.0,83.1000000000003,-17.70000000000067,-0.0999999999990564,False
2016,2016-01-12,117.682,118.017,117.223,117.462,540.0,79.3999999999997,-21.999999999999886,117.462,118.071,117.381,117.834,900.0,68.99999999999977,37.19999999999999,0.0,False
2016,2016-01-13,117.834,118.372,117.771,118.283,540.0,60.09999999999991,44.89999999999981,118.282,118.377,117.37,117.413,900.0,100.69999999999908,-86.89999999999998,-0.10000000000047748,False
2016,2016-01-14,117.414,118.178,117.293,117.715,540.0,88.49999999999909,30.100000000000193,117.713,118.281,117.436,118.223,900.0,84.49999999999989,51.00000000000051,-0.20000000000095497,True
2016,2016-01-15,118.224,118.261,117.31,117.36,540.0,95.09999999999934,-86.40000000000043,117.362,117.493,116.508,117.014,780.0,98.49999999999994,-34.7999999999999,0.19999999999953388,True
2016,2016-01-18,117.001,117.437,116.923,117.349,540.0,51.39999999999958,34.7999999999999,117.352,117.439,117.161,117.398,898.0,27.79999999999916,4.599999999999227,0.30000000000001137,True
2016,2016-01-19,117.397,117.997,117.232,117.827,540.0,76.50000000000006,42.99999999999926,117.824,118.113,117.308,117.565,900.0,80.49999999999926,-25.900000000000034,-0.30000000000001137,False
2016,2016-01-20,117.564,117.567,116.019,116.093,540.0,154.79999999999876,-147.09999999999894,116.093,117.202,115.974,117.197,898.0,122.79999999999944,110.39999999999992,0.0,False
2016,2016-01-21,117.2,117.474,116.469,116.839,540.0,100.50000000000097,-36.10000000000042,116.846,117.936,116.71,117.927,899.0,122.60000000000133,108.1000000000003,0.7000000000005002,False
2016,2016-01-22,117.926,118.291,117.538,118.282,540.0,75.30000000000001,35.599999999999454,118.282,118.878,117.864,118.752,780.0,101.39999999999958,46.999999999999886,0.0,True
2016,2016-01-25,118.56,118.855,118.263,118.38,540.0,59.199999999999875,-18.000000000000682,118.379,118.653,118.171,118.233,897.0,48.19999999999993,-14.60000000000008,-0.0999999999990564,True
2016,2016-01-26,118.233,118.289,117.656,118.069,540.0,63.29999999999956,-16.400000000000148,118.069,118.62,118.019,118.387,900.0,60.09999999999991,31.799999999999784,0.0,False
2016,2016-01-27,118.385,118.474,118.043,118.222,540.0,43.09999999999974,-16.30000000000109,118.218,119.065,118.138,118.479,897.0,92.69999999999925,26.099999999999568,-0.39999999999906777,False
2016,2016-01-28,118.481,118.94,118.414,118.765,540.0,52.599999999999625,28.400000000000603,118.765,118.991,118.562,118.926,899.0,42.900000000000205,16.100000000000136,0.0,True
2016,2016-01-29,118.927,121.434,118.44,120.841,540.0,299.4,191.39999999999873,120.839,121.686,120.633,121.12,780.0,105.30000000000115,28.10000000000059,-0.19999999999953388,True
2016,2016-02-01,121.344,121.44,121.054,121.279,540.0,38.59999999999957,-6.499999999999773,121.278,121.408,120.678,120.854,900.0,73.0000000000004,-42.40000000000066,-0.0999999999990564,True
2016,2016-02-02,120.856,121.013,120.356,120.657,540.0,65.70000000000107,-19.899999999999807,120.655,120.861,119.678,119.848,899.0,118.3000000000007,-80.70000000000022,-0.19999999999953388,True
2016,2016-02-03,119.849,120.043,119.418,119.945,540.0,62.5,9.599999999998943,119.942,119.947,117.05,118.166,899.0,289.70000000000056,-177.59999999999962,-0.30000000000001137,False
2016,2016-02-04,118.165,118.211,117.628,117.737,540.0,58.29999999999984,-42.80000000000115,117.733,117.783,116.527,116.853,900.0,125.60000000000002,-88.00000000000097,-0.39999999999906777,True
2016,2016-02-05,116.853,116.984,116.556,116.89,540.0,42.79999999999973,3.700000000000614,116.888,117.428,116.29,116.797,780.0,113.7999999999991,-9.100000000000819,-0.19999999999953388,False
2016,2016-02-08,116.948,117.524,116.883,117.127,540.0,64.10000000000053,17.900000000000205,117.124,117.131,115.173,115.664,900.0,195.79999999999984,-145.99999999999937,-0.30000000000001137,False
2016,2016-02-09,115.663,115.664,114.204,115.365,540.0,146.0000000000008,-29.800000000000182,115.364,115.499,114.322,115.182,900.0,117.69999999999925,-18.200000000000216,-0.0999999999990564,True
2016,2016-02-10,115.182,115.216,114.258,114.913,540.0,95.79999999999984,-26.900000000000546,114.913,115.193,113.116,113.24,900.0,207.69999999999982,-167.30000000000018,0.0,True
2016,2016-02-11,113.241,113.486,110.983,111.573,540.0,250.3,-166.80000000000064,111.566,113.175,110.983,112.489,898.0,219.1999999999993,92.30000000000018,-0.6999999999990791,False
2016,2016-02-12,112.488,113.013,111.667,112.603,540.0,134.60000000000036,11.499999999999488,112.604,113.539,112.383,113.209,780.0,115.60000000000059,60.5000000000004,0.10000000000047748,True
2016,2016-02-15,113.675,114.099,113.272,113.802,540.0,82.69999999999982,12.700000000000955,113.801,114.729,113.723,114.351,899.0,100.60000000000002,54.999999999999716,-0.10000000000047748,True
2016,2016-02-16,114.351,114.873,114.241,114.373,540.0,63.2000000000005,2.200000000000557,114.372,114.372,113.593,114.133,900.0,77.89999999999964,-23.900000000000432,-0.10000000000047748,False
2016,2016-02-17,114.132,114.394,113.374,113.852,540.0,102.00000000000102,-28.000000000000114,113.853,114.502,113.743,114.291,900.0,75.90000000000003,43.80000000000024,0.0999999999990564,False
2016,2016-02-18,114.29,114.318,113.616,113.675,540.0,70.19999999999982,-61.50000000000091,113.675,114.008,113.142,113.253,900.0,86.59999999999997,-42.199999999999704,0.0,True
2016,2016-02-19,113.256,113.295,112.713,113.064,540.0,58.200000000000784,-19.200000000000728,113.064,113.206,112.306,112.577,780.0,90.00000000000057,-48.69999999999948,0.0,True
2016,2016-02-22,112.526,113.05,112.507,112.783,540.0,54.299999999999216,25.7000000000005,112.783,113.387,112.757,112.954,900.0,62.999999999999545,17.099999999999227,0.0,True
2016,2016-02-23,112.953,113.0,111.854,112.161,540.0,114.60000000000008,-79.20000000000016,112.16,112.414,111.772,111.908,900.0,64.19999999999959,-25.199999999999534,-0.10000000000047748,True
2016,2016-02-24,111.909,112.263,111.634,112.095,540.0,62.90000000000049,18.599999999999284,112.091,112.206,111.039,112.062,900.0,116.70000000000016,-2.899999999999636,-0.40000000000048885,False
