start_utc,dur_h,end_utc,n_days,avg_abs_net_pips,median_abs_net_pips,avg_er,avg_mae_pips,pct_in_10_20_band,avg_er_in_band,avg_mae_in_band
0,1,1,722,12.394459833795041,8.600000000001273,0.1405088066498134,5.5020775623268525,26.73130193905817,0.18318219133943517,4.950777202072461
0,2,2,778,18.643059125964037,14.200000000001012,0.10133671681764729,8.463496143958853,27.249357326478147,0.09955432248435474,8.573584905660365
0,3,3,780,22.681794871794896,17.099999999999227,0.07918954249412777,10.65871794871792,21.923076923076923,0.06711748702976132,11.419298245614012
0,4,4,780,25.83423076923082,17.29999999999876,0.06808622113507935,11.957692307692282,24.743589743589745,0.05117101484358971,13.05129533678762
1,1,2,779,14.165725288831833,10.699999999999932,0.1299346267884451,6.905391527599549,29.653401797175867,0.15097768922221425,6.32943722943719
1,2,3,779,19.405134788190022,13.999999999998636,0.09236274264830605,9.395635430038533,26.059050064184852,0.0869507107027943,8.72660098522164
1,3,4,777,23.107979407979418,16.499999999999204,0.07589976522796289,10.787387387387419,25.868725868725868,0.06557113498048835,10.340796019900532
1,4,5,779,25.639922978177175,17.799999999999727,0.06597869042656453,11.780487804878058,21.437740693196407,0.05363427652688317,10.365868263473066
2,1,3,774,12.497157622739017,8.70000000000033,0.1283775291488508,5.987209302325623,27.131782945736433,0.167539349280917,5.4009523809524405
2,2,4,779,16.981129653401783,10.300000000000864,0.08848853063308733,7.8685494223363515,25.288831835686775,0.09614195300627498,7.092893401015148
2,3,5,777,20.011454311454322,12.100000000000932,0.07267366403427888,8.928314028314057,24.066924066924066,0.07333112897160564,8.680748663101697
2,4,6,778,22.020308483290517,13.850000000000051,0.06314485211560927,10.346401028277663,23.39331619537275,0.05989690722517504,9.277472527472577
3,1,4,775,11.090064516129024,6.999999999999318,0.1259688818374296,4.763870967741928,22.451612903225808,0.18460105017369083,4.565517241379214
3,2,5,778,15.016709511568193,9.199999999999875,0.08871049745866492,6.918251928020549,25.449871465295633,0.10802842405276593,5.619191919191872
3,3,6,777,17.33423423423423,10.699999999999932,0.07155264067436833,8.570012870012865,26.126126126126124,0.08121147173211275,7.071921182265973
3,4,7,777,20.287387387387376,12.699999999998113,0.06459243541795082,9.64259974259976,24.967824967824967,0.06229343033181173,9.147422680412458
4,1,5,771,9.158495460440975,5.89999999999975,0.12086567988566618,4.420492866407292,19.844357976653697,0.20173326305489905,3.241830065359464
4,2,6,773,12.891849935316959,8.699999999998909,0.08823518636899523,6.773609314359594,25.614489003880987,0.11346916997538163,5.137373737373671
4,3,7,777,16.583268983268972,10.899999999999466,0.07396299051793105,8.967696267696253,28.442728442728445,0.08026557119268739,6.584615384615311
4,4,8,777,22.193178893178864,15.700000000001069,0.06633032096560146,10.596525096525093,27.670527670527672,0.05821678796009662,9.66930232558143
5,1,6,775,9.605806451612908,6.60000000000025,0.12999421356681376,4.600645161290291,23.741935483870968,0.20312718188078646,3.5195652173911878
5,2,7,778,13.854113110539831,9.799999999999187,0.09037484950338404,6.998071979434424,27.12082262210797,0.10750852504969888,5.7781990521326305
5,3,8,776,19.68556701030925,14.000000000000057,0.07602101848685038,9.414432989690697,25.644329896907216,0.07094979457501698,8.503517587939768
5,4,9,775,24.94090322580639,17.199999999999704,0.06670081206067022,12.12722580645161,23.612903225806452,0.051569952652706044,13.51967213114758
6,1,7,777,9.72200772200774,6.700000000000728,0.12342930727333763,5.1477477477477445,23.166023166023166,0.1838049750833597,4.9394444444444865
6,2,8,776,16.70502577319587,12.400000000000233,0.09202053392980561,8.0186855670103,29.63917525773196,0.09732406073962702,7.9704347826087165
6,3,9,777,22.516731016731008,16.199999999999193,0.07528489848155713,11.063835263835255,25.096525096525095,0.06167567186066422,11.460512820512784
6,4,10,778,25.71722365038558,17.650000000000432,0.0641885078042931,12.756812339331656,26.092544987146532,0.04964274938039128,13.014285714285775
7,1,8,775,12.889290322580628,9.499999999999886,0.1254303028261899,6.754451612903225,28.12903225806452,0.16287228715207255,6.559633027522915
7,2,9,776,20.442010309278384,15.449999999999875,0.09457750955487003,9.461855670103093,28.60824742268041,0.08702421202344442,8.885135135135192
7,3,10,777,23.8647361647362,16.70000000000016,0.07542076248569395,11.227413127413135,25.482625482625483,0.06238405097564343,11.373737373737384
7,4,11,777,26.46447876447883,18.999999999999773,0.0659934998997711,11.746332046332071,23.809523809523807,0.04838602734167179,12.582162162162176
8,1,9,773,14.656791720569217,10.599999999999454,0.1318861872267441,6.958990944372546,27.943078913324708,0.15257845627201386,5.615277777777793
8,2,10,776,19.30979381443301,13.450000000000273,0.09042807959538006,9.015206185566997,25.51546391752577,0.08829581138245628,8.475252525252406
8,3,11,777,21.986100386100382,15.600000000000591,0.07409353833449563,10.424066924066922,25.225225225225223,0.06571238621957455,9.83214285714298
8,4,12,777,24.071557271557257,17.40000000000066,0.06544508205089236,11.272200772200781,24.83912483912484,0.052677261511642266,10.903108808290172
9,1,10,773,12.110996119016802,8.200000000002206,0.12088987944016931,5.698835705045253,23.285899094437255,0.16281425774721336,4.502777777777717
9,2,11,777,15.58687258687264,11.199999999999477,0.08562863551019563,7.60463320463316,26.254826254826252,0.09598503610699902,6.959313725490177
9,3,12,774,18.252454780361727,13.150000000000261,0.07188829532695427,8.859560723514225,25.581395348837212,0.07149213472591806,8.341919191919075
9,4,13,775,21.872645161290325,15.700000000001069,0.06515840933534996,10.4036129032258,25.290322580645164,0.056657150991982874,10.4051020408163
10,1,11,758,9.936543535620082,7.100000000001927,0.11762112520783187,4.847625329815285,23.218997361477573,0.17553627110784012,4.1761363636364734
10,2,12,774,12.819638242894007,9.000000000000341,0.0857675815132571,7.213953488372088,26.873385012919897,0.10578437905732821,6.412499999999936
10,3,13,776,17.18724226804121,12.100000000000932,0.07474391290218768,9.239819587628856,28.60824742268041,0.07863672054008534,7.666216216216167
10,4,14,776,27.530283505154628,19.599999999999795,0.07742586624736222,13.106958762886588,21.778350515463917,0.05439466680017673,12.221893491124245
11,1,12,720,9.484027777777776,6.9000000000002615,0.12257160457935963,4.649166666666644,23.75,0.18517045982548994,4.1953216374268045
11,2,13,769,14.257477243172918,10.200000000000387,0.09567157144896488,7.004161248374529,27.568270481144342,0.12199170061700403,5.581132075471682
11,3,14,775,25.037548387096763,16.70000000000016,0.09173303797587587,11.726838709677425,22.70967741935484,0.07665816247435281,9.797159090909089
11,4,15,777,30.498198198198182,21.999999999999886,0.08106309988990029,13.683526383526377,18.01801801801802,0.05117428003363082,12.64714285714287
12,1,13,716,11.265363128491598,7.800000000000296,0.13061997401304354,5.261312849162038,25.41899441340782,0.19006441063277488,4.162087912087851
12,2,14,764,22.87303664921463,15.049999999999386,0.1105833751433005,10.290968586387478,26.04712041884817,0.09765288186312167,9.812562814070418
12,3,15,777,28.158429858429855,20.300000000000296,0.0922206327261626,12.838352638352632,20.84942084942085,0.06713725624687523,12.514197530864177
12,4,16,777,34.648133848133895,24.70000000000141,0.07982961610841843,15.73346203346204,20.97812097812098,0.04658670042010903,14.77361963190191
13,1,14,721,19.95339805825244,13.100000000000023,0.14681058282661952,8.521775312066572,25.104022191400833,0.14788729607030246,9.171270718232071
13,2,15,771,25.01660181582358,16.799999999997794,0.10627058340597992,11.209079118028521,23.216601815823605,0.08872713436735337,11.35977653631285
13,3,16,776,31.83930412371132,21.299999999999386,0.087799686472906,14.359278350515485,21.649484536082475,0.059149201267130636,15.042857142857232
13,4,17,777,34.96151866151866,23.599999999999,0.07701475433779477,15.665894465894498,20.077220077220076,0.04716715687923444,17.412820512820637
14,1,15,718,15.80125348189408,10.74999999999946,0.12467478195477923,7.63105849582178,26.880222841225628,0.14396179068187095,6.776683937823809
14,2,16,766,24.170234986945157,17.199999999999704,0.09986498903301048,11.443472584856403,24.673629242819846,0.07834638478441294,11.035978835978765
14,3,17,775,27.395999999999958,19.300000000001205,0.08388426535012236,12.380129032258084,23.225806451612904,0.06199817828198585,11.855000000000064
14,4,18,776,30.266365979381415,21.84999999999988,0.07605865236119266,13.092912371134037,22.29381443298969,0.04888740122374761,14.168208092485578
15,1,16,727,17.531774415405774,12.600000000000477,0.1316574912141417,8.484731774415426,26.5474552957359,0.13353990931962548,8.818134715025865
15,2,17,773,20.932988357050444,13.999999999998636,0.0964982393016091,10.022768434670114,27.943078913324708,0.09076151319175203,10.113425925925979
15,3,18,774,23.81188630490958,15.999999999999659,0.08284341044481854,10.723643410852702,23.51421188630491,0.06765407824349444,10.940109890109845
15,4,19,776,26.94136597938146,18.44999999999999,0.07680680930219708,11.900515463917525,24.355670103092784,0.058484538520495975,11.626455026455034
16,1,17,716,12.114525139664815,8.500000000000796,0.12033569801220984,6.246368715083783,27.6536312849162,0.15874811185403784,5.809090909090914
16,2,18,763,15.152817824377452,10.80000000000041,0.09207541225490612,7.038007863695925,29.750982961992133,0.10730472109680472,6.042290748898701
16,3,19,776,18.542525773195887,12.949999999999307,0.0814215957909797,8.40025773195873,26.804123711340207,0.08344430159661562,8.160096153846167
16,4,20,773,21.684864165588635,14.899999999997249,0.07389668565485717,9.933764553686904,25.22639068564036,0.06835360628463161,9.196923076922987
17,1,18,718,9.280083565459607,6.700000000000017,0.12393599820142132,4.481615598885811,24.094707520891365,0.19310989368024056,3.475144508670619
17,2,19,769,13.60546163849155,9.200000000001296,0.09864752239677571,5.82717815344602,26.788036410923276,0.12564600346389895,5.475242718446662
17,3,20,774,16.785788113695116,11.199999999999477,0.08404977313623174,7.966020671834597,22.60981912144703,0.09579761700006603,6.675428571428531
17,4,21,777,18.288803088803093,12.599999999997635,0.07114469038624985,8.552123552123506,25.611325611325615,0.07334885567895338,8.03216080402012
18,1,19,718,10.139972144846837,6.799999999999784,0.13942244657772884,4.306267409470708,21.309192200557103,0.21887766804100164,3.728104575163385
18,2,20,761,13.206570302233892,8.600000000001273,0.09787166852627079,6.410643889618931,25.75558475689882,0.12926936459397723,5.9341836734693665
18,3,21,775,14.58503225806451,8.800000000000807,0.07706277907855232,7.749290322580661,22.967741935483872,0.09545663960501825,6.16067415730336
18,4,22,780,15.286923076923053,10.000000000000853,0.06720851888860319,8.287692307692263,26.923076923076923,0.07946836770252372,6.759999999999837
19,1,20,710,9.278169014084488,6.200000000000472,0.13042371955819262,4.549014084507049,21.549295774647888,0.21229739693177044,4.228758169934602
19,2,21,773,11.110737386804676,6.999999999999318,0.09267398182019504,5.405950840879677,21.345407503234153,0.1375153102460511,4.979393939393918
19,3,22,781,12.137387964148521,7.900000000000773,0.07640876543762343,6.426888604353356,24.71190781049936,0.1068335567050379,5.553367875647596
19,4,23,914,12.321444201312941,7.849999999999113,0.08209608956088942,6.466630196936544,23.194748358862142,0.1272310193822096,5.545754716981149
20,1,21,716,7.371368715083856,5.350000000000676,0.12439353305769259,3.5513966480446344,18.854748603351958,0.22195780263671244,3.6911111111110615
20,2,22,769,9.091157347204183,6.499999999999773,0.09602872550602547,4.438491547464244,23.14694408322497,0.1533905909487655,3.6500000000000643
